Code Rejet;Libellé rejet;Fichier Source;Appli Source;Folio;Région;Type;Société;Numéro pièce;Date pièce comptable;Compte Frs;Compte local;Montant Ligne;TF;Type dépense;Quantité;Type TVA;Devise;Description ligne;Date création GDR;Date Arrêté comptable;Date d'échéance;Fichier SRC technique;ID GDR;Line GDR
OAE025;Site Fournisseur inactif ou inexistant;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;CELERIS;CEG - CELERIS Achats Gaz;B00000007H - DEW REGION MEDITERRANEE;Facture;0001;210000060805;10/06/2026;35989-FRA69270;401100;1179.550000;GL0052617S;;0.000010;;EUR;FAC GAZCPTR0000161781 210000060805  3378842;17/06/2026;25/06/2026;10/06/2026;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;589253;8542400
;;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;CELERIS;CEG - CELERIS Achats Gaz;B00000007H - DEW REGION MEDITERRANEE;Facture;0001;210000060805;10/06/2026;35989-FRA69270;602210;43.600000;GL0052617S;DEBOURS P1 GAZ PARTIES FIXES;2.000000;;EUR;FAC GAZCPTR0000161781 210000060805  3378842;17/06/2026;25/06/2026;10/06/2026;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;589253;8542401
;;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;CELERIS;CEG - CELERIS Achats Gaz;B00000007H - DEW REGION MEDITERRANEE;Facture;0001;210000060805;10/06/2026;35989-FRA69270;602210;898.740000;GL0052617S;DEBOURS P1 GAZ;7.385000;;EUR;FAC GAZCPTR0000161781 210000060805  3378842;17/06/2026;25/06/2026;10/06/2026;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;589253;8542402
;;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;CELERIS;CEG - CELERIS Achats Gaz;B00000007H - DEW REGION MEDITERRANEE;Facture;0001;210000060805;10/06/2026;35989-FRA69270;602210;40.620000;GL0052617S;ACHAT GPL;7.385000;;EUR;FAC GAZCPTR0000161781 210000060805  3378842;17/06/2026;25/06/2026;10/06/2026;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;589253;8542403
;;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;CELERIS;CEG - CELERIS Achats Gaz;B00000007H - DEW REGION MEDITERRANEE;Facture;0001;210000060805;10/06/2026;35989-FRA69270;445660;196.590000;GL0052617S;;0.000010;;EUR;FAC GAZCPTR0000161781 210000060805  3378842;17/06/2026;25/06/2026;10/06/2026;CEL01_SRC_FACTURESFOURNISSEURS_160626-211522_ST_CEL01_639172413228715611_001;589253;8542404
OAE025;Site Fournisseur inactif ou inexistant;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;PIRENE;HAF - PIRENE Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0367;2026 - 05 - VCOM 465;31/05/2026;89690-FRA19200-A;401100;5397.330000;GN1583362A;;0.000010;;EUR;STANDARD - 2026 - 05 - VCOM 465;17/06/2026;25/06/2026;;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;589251;8542394
;;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;PIRENE;HAF - PIRENE Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0367;2026 - 05 - VCOM 465;31/05/2026;89690-FRA19200-A;445660;490.670000;GN1583362A;;53.560000;;EUR;STANDARD - 2026 - 05 - VCOM 465;17/06/2026;25/06/2026;;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;589251;8542395
;;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;PIRENE;HAF - PIRENE Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0367;2026 - 05 - VCOM 465;31/05/2026;89690-FRA19200-A;602210;4906.660000;GN1583362A;UC ACHAT BIOMASSE;53.560000;;EUR;STANDARD - 2026 - 05 - VCOM 465;17/06/2026;25/06/2026;;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;589251;8542396
OAE025;Site Fournisseur inactif ou inexistant;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;PIRENE;HAF - PIRENE Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0367;FA00004836;30/04/2026;66751-FRA79300INACTIF;401100;1878.480000;GN1583846A;;0.000010;;EUR;STANDARD - FA00004836;17/06/2026;25/06/2026;;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;589252;8542397
;;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;PIRENE;HAF - PIRENE Factures Fournisseurs;B00000001B - DOS REGION SIEGE FRANCE;Facture;0367;FA00004836;30/04/2026;66751-FRA79300INACTIF;445660;170.770000;GN1583846A;;24.000000;;EUR;STANDARD - FA00004836;17/06/2026;25/06/2026;;PRN01_SRC_FACTURESFOURNISSEURS_20260616_204246;589252;8542398
