
ETAT DES RECEPTIONS DES ORDRES DE PRELEVEMENTS AU:26/08/2026 a 07:01

NOM DU SI DALKIA;IBAN CREANCIER;DATE D'ECHEANCE;NOMBRE DE PRELEVEMENTS;MONTANT TOTAL;
CIF;FR7630004003420002010707342;11/09/2026;0000000004;324,61;
CIF;FR7630004003420002010707342;14/09/2026;0000000007;661,97;
CIF;FR7630004008190001183352461;11/09/2026;0000000002;44,62;
CIF;FR7630004008190001183352461;14/09/2026;0000000007;201,57;
CIF;FR7630004008190001198018861;09/09/2026;0000000001;50,23;
CIF;FR7630004008190001198018861;11/09/2026;0000000005;514,41;
CIF;FR7630004008190001198018861;14/09/2026;0000000028;3709,62;
CIF;FR7630004008190001203237461;14/09/2026;0000000001;132,49;
CIF;FR7630004008190001203276261;14/09/2026;0000000002;160,04;
CIF;FR7630004008280001284673676;11/09/2026;0000000003;223,16;
CIF;FR7630004008280001284673676;14/09/2026;0000000008;870,32;
CIF;FR7630004013280001055447804;14/09/2026;0000000005;430,79;
CIF;FR7630004013280001055467204;11/09/2026;0000000031;2132,35;
CIF;FR7630004013280001055467204;14/09/2026;0000000055;7194,25;
CIF;FR7630004013280001055515704;11/09/2026;0000000002;204,14;
CIF;FR7630004013280001055515704;14/09/2026;0000000006;508,59;
