Code banque payeur;IBAN compte bancaire payeur;Date;Nom du fichier source;Nombre de virements du fichier source;Montant des virements du fichier source;Nom du fichier EDF;Nombre de virements du fichier EDF;Montant total du fichier EDF
30003;FR7630003011000002041701141;20260907;DK_FIN01_30003-0514DNAGPX-20260903-48943553_20260903-025529.txt;1;1423,31;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036757287.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;1423,31
30004;FR7630004013280001018975804;20260907;DK_FIN01_30004-0001DCWGPX-20260903-48943553_20260903-025529.txt;1;2208,0;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036767288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;9;120135,63
30004;FR7630004013280001018975804;20260907;DK_FIN01_30004-0001DEWGPX-20260903-48943553_20260903-025529.txt;1;2704,03;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036767288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;9;120135,63
30004;FR7630004013280001018975804;20260907;DK_FIN01_30004-0001DLSGPX-20260903-48943553_20260903-025529.txt;2;7554,82;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036767288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;9;120135,63
30004;FR7630004013280001018975804;20260907;DK_FIN01_30004-0001DMSGPX-20260903-48943553_20260903-025529.txt;2;6576,36;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036767288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;9;120135,63
30004;FR7630004013280001018975804;20260907;DK_FIN01_30004-0001DOSGPX-20260903-48943553_20260903-025529.txt;1;2526,88;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036767288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;9;120135,63
30004;FR7630004013280001018975804;20260907;DK_FIN01_30004-0001DRWGPX-20260903-48943553_20260903-025529.txt;1;21990,87;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036767288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;9;120135,63
30004;FR7630004013280001018975804;20260907;DK_FIN01_30004-0001DSWGPX-20260903-48943553_20260903-025529.txt;1;76574,67;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036767288.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;9;120135,63
30004;FR7630004008190001203208361;20260907;DK_FIN01_30004-0149DSWGPX-20260903-48943553_20260903-025529.txt;3;56737,35;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036777289.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;3;56737,35
30004;FR7630004008190001185234261;20260907;DK_FIN01_30004-0630DCWGPX-20260903-48943553_20260903-025529.txt;1;10349,59;CDPG.NC4.IMPORT_ACK.DLK_VIR_17883971036787290.PY_TRANSFER.I_DAL_VIR.DALKIA.NULL;1;10349,59
