AP_VE_1-2;DK_0001_30003-0001DRWEXP-20260911-49013486;242840.71;AP;;ORACLE
ENTITYID;COUNTERPARTYID;CASHFLOWTYPE;PAYMENTMETHOD;PRIORITYID;VALUEDATE;TRANSACTIONDATE;ENTITYBANKACCOUNTNUMBER;CURRENCYCODE;AMOUNT;COUNTERPARTYNAME;COUNTERPARTYBANKACCOUNTNUMBER;CPTYSECONDARYACCOUNTNUMBER;COUNTERPARTYBANKACCOUNTCOUNTRYCODE;COUNTERPARTYBANKCODE;COUNTERPARTYBANKBRANCHID;COUNTERPARTYADDRESS1;COUNTERPARTYADDRESS2;COUNTERPARTYADDRESS3;COUNTERPARTYADDRESS4;COUNTERPARTYSTATE;COUNTERPARTYCITY;COUNTERPARTYCOUNTRYCODE;COUNTERPARTYMESSAGE;FINANCIALCHARGEALLOCATION;CUSTOMERREFERENCENUMBER;BANKINSTRUCTIONS;DESCRIPTION/REFERENCE;TRANSACTIONTYPECODE;INTERMEDIARYBANKSWIFTCODE;INTERMEDIARYBANKNAME;INTERMEDIARYBANKADRESSE1;INTERMEDIARYBANKADRESSE2;INTERMEDIARYBANKADRESSE3;INTERMEDIARYBANKADRESSE4;SECONDINTERMEDIARYBANKSWIFTCODE;SECONDINTERMEDIARYBANKNAME;SECONDINTERMEDIARYBANKADRESSE1;SECONDINTERMEDIARYBANKADRESSE2;SECONDINTERMEDIARYBANKADRESSE3;SECONDINTERMEDIARYBANKADRESSE4;CHEQUENUMBER;COMMENT;RESERVE9;RESERVE8;RESERVE7;RESERVE6;RESERVE5;RESERVE4;RESERVE3;RESERVE2;RESERVE1
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;56400.00;TGB SAS;182060018265106526790;FR7618206001826510652679004;FR;AGRIFRPP882;;10 Placette des Arbousiers;;;;91440;Bures-sur-Yvette;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur S00104588 - Site FRA91440;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;19955.40;HGE FRANCE;300661090000020396401;FR7630066109000002039640156;FR;CMCIFRPPXXX;;3 Rue de l'Industrie;;;;77173;Chevry-Cossigny;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur 83385 - Site FRA77173;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;4136.40;DJRENOV;300040181900010172685;FR7630004018190001017268514;FR;BNPAFRPPXXX;;52 Rue Pasteur;;;;78700;Conflans-Sainte-Honorine;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur S00110566 - Site FRA78700;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;339.12;AURANEXT;300040000900010024415;FR7630004000090001002441569;FR;BNPAFRPPXXX;;202 Quai de Clichy;;;;92110;Clichy;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur S00115581 - Site FRA92110;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;8064.05;EURO DISNEY ASSOCIES SAS;300040222100019000006;FR7630004022210001900000605;FR;BNPAFRPPXXX;;1 Rdpt d'Isigny;DISNEYLAND PARIS - DISNEY VILLAGE -;;;77700;Chessy;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur S00130890 - Site FRA77700;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;2028.00;MIROITERIE LE COQ SARL;182060026926992378001;FR7618206002692699237800145;FR;AGRIFRPP882;;61 RUE RABELAIS;;;;93000;BOBIGNY;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur 14196 - Site FRA93000;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;7596.00;STRUCTURES 93;182060026926992277001;FR7618206002692699227700117;FR;AGRIFRPP882;;140 CHEMIN DE GROSLAY;;;;93140;BONDY;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur 32049 - Site FRA93140;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;768.00;OCEDIS;168070040080680742605;FR7616807004008068074260516;FR;CCBPFRPPGRE;;69 ALLEE DES PEUPLIERS;;;;1600;TREVOUX;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur 52146 - Site FRA01600;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;23274.10;DS  C ASSOCIES;102780621400040968045;FR7610278062140004096804578;FR;CMCIFR2AXXX;;18 RUE DES OZIERS;;;;95310;ST OUEN L AUMONE;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur 49795 - Site FRA95310;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
0001;NO;COMMP;EFT;0;09/15/2026;09/14/2026;FR7630003011000002002534384;EUR;346.09;GAZ DE BORDEAUX;100571901200041440203;FR7610057190120004144020366;FR;CMCIFRPPXXX;;6 PLACE RAVEZIES;;;;33300;BORDEAUX;FR;Lot 20260911-0604DRWXTIERSEXVIR0001 - 14/09/2026 - Fournisseur 72234 - Site FRA33075;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
